layer_id,latent_ind,flattened_id,latent_i,domain_idx,entry_name,n_in,n_out,mwu_p,mwu_p_adj,mwu_auc,prevalence,summary_kind,k_1x,precision_1x,lift_1x,or_topk_1x,fisher_p_1x,k_2x,precision_2x,lift_2x,or_topk_2x,fisher_p_2x,fisher_p_adj_1x,fisher_p_adj_2x
20,1505,17889,202,9005,P-loop containing nucleoside triphosphate hydrolase,652,9348,0.0,0.0,0.9969974877339991,0.0652,topq,652,0.9003067484662577,13.808385712672665,1289.7327810650888,0.0,1304,0.49923312883435583,7.6569498287477895,8668.369065849924,0.0,0.0,0.0
24,3996,24476,355,9005,P-loop containing nucleoside triphosphate hydrolase,652,9348,0.0,0.0,0.9924211176039756,0.0652,topq,652,0.8343558282208589,12.796868530994768,430.94650205761315,0.0,1304,0.4976993865030675,7.633426173359932,2871.1231552162853,0.0,0.0,0.0
12,1256,9448,73,9005,P-loop containing nucleoside triphosphate hydrolase,652,9348,0.0,0.0,0.9895183609367576,0.0652,topq,652,0.8205521472392638,12.585155632504048,360.7703265395573,0.0,1304,0.4915644171779141,7.539331551808499,763.3463595228301,0.0,0.0,0.0
8,488,4584,51,9059,Alpha/Beta hydrolase fold,63,9937,0.0,0.0,0.9710485582982312,0.0063,topq,63,0.6349206349206349,100.78105316200553,749.640831758034,7.399567392943611e-79,126,0.373015873015873,59.208868732678255,366.55537974683546,9.554849284020572e-80,2.1014771395959857e-76,2.7135771966618424e-77
24,3264,23744,336,9005,P-loop containing nucleoside triphosphate hydrolase,652,9348,0.0,0.0,0.9431927960706795,0.0652,topq,652,0.5920245398773006,9.0801309797132,49.54564983888292,0.0,1304,0.41180981595092025,6.316101471639882,52.24190238648603,0.0,0.0,0.0
20,1763,18147,208,9005,P-loop containing nucleoside triphosphate hydrolase,652,9348,0.0,0.0,0.9391020781978888,0.0652,topq,652,0.5674846625766872,8.703752493507473,42.18122830843519,8.179145686357047e-306,1304,0.4156441717791411,6.374910610109526,55.519112383679314,0.0,2.3228773749254014e-303,0.0
12,904,9096,69,9005,P-loop containing nucleoside triphosphate hydrolase,652,9348,0.0,0.0,0.9548070221378675,0.0652,topq,652,0.5138036809815951,7.880424554932441,30.106628586213418,1.5226368040954403e-251,1304,0.4102760736196319,6.292577816252024,51.0126926966979,0.0,4.3242885236310505e-249,0.0
16,2536,14824,151,9005,P-loop containing nucleoside triphosphate hydrolase,652,9348,5.303154006796167e-309,1.5060957379301113e-306,0.9327508623609,0.0652,topq,652,0.6196319018404908,9.503556776694644,59.77497398543184,0.0,1304,0.3665644171779141,5.622153637698069,28.34262892766692,2.1989418486776236e-306,0.0,6.244994850244451e-304
24,1909,22389,302,9005,P-loop containing nucleoside triphosphate hydrolase,652,9348,2.2675371307614272e-294,6.439805451362453e-292,0.9274427324108565,0.0652,topq,652,0.5843558282208589,8.96251270277391,47.090004221075425,5e-324,1304,0.370398773006135,5.680962776167715,29.68339231273739,1.0827122522e-313,1.403e-321,3.074902796266e-311
16,3994,16282,172,9005,P-loop containing nucleoside triphosphate hydrolase,652,9348,1.36892439518275e-279,3.8877452823190097e-277,0.910857461718789,0.0652,topq,652,0.5030674846625767,7.715758967217434,28.19570187471422,2.6896985465407706e-241,1304,0.3351226993865031,5.13991870224698,19.882497787076524,4.4552743646213997e-250,7.6387438721757885e-239,1.2652979195524776e-247
12,2797,10989,89,8740,Aldolase-type TIM barrel,245,9755,3.774401381155604e-217,1.0719299922481914e-214,0.9624634148892771,0.0245,topq,245,0.6285714285714286,25.65597667638484,179.71935756551142,2.9571641669025474e-207,490,0.4020408163265306,16.409829237817576,132.53796928327645,4.127974340130975e-227,8.398346234003235e-205,1.172344712597197e-224
16,2341,14629,147,8740,Aldolase-type TIM barrel,245,9755,1.8883048860591195e-147,5.362785876407899e-145,0.9803048149039216,0.0245,topq,245,0.6693877551020408,27.321949187838403,241.8131382411218,2.1127264206224135e-230,490,0.45102040816326533,18.40899625156185,324.72211895910783,3.6246030583618474e-282,6.000143034567655e-228,1.0293872685747647e-279
24,1427,21907,294,8740,Aldolase-type TIM barrel,245,9755,2.6217717116841944e-144,7.445831661183112e-142,0.975961045617632,0.0245,topq,245,0.5183673469387755,21.157850895460225,87.8985205400747,9.737432816862145e-151,490,0.42857142857142855,17.492711370262388,203.0357142857143,8.512647644497618e-256,2.765430919988849e-148,2.4175919310373236e-253
28,213,24789,359,8740,Aldolase-type TIM barrel,245,9755,1.3047208168492762e-142,3.705407119851944e-140,0.974239270285254,0.0245,topq,245,0.6,24.489795918367346,147.8112244897959,8.557357744401792e-192,490,0.38979591836734695,15.910037484381508,111.86027499070978,1.2689828718515476e-214,2.430289599410109e-189,3.6039113560583954e-212
12,1377,9569,74,9278,NAD(P)-binding domain superfamily,206,9794,4.583818052491898e-131,1.301804326907699e-128,0.9891351649811356,0.0206,topq,206,0.5339805825242718,25.921387501178245,115.75303819444444,1.4424662573793585e-141,412,0.48058252427184467,23.32924875106042,1107.9672897196263,2.528838954195297e-285,4.096604170957378e-139,7.181902629914644e-283
12,3794,11986,100,9063,S-adenosyl-L-methionine-dependent methyltransferase superfamily,179,9821,2.734427553034615e-128,7.765774250618306e-126,0.9929406772285361,0.0179,topq,179,0.7039106145251397,39.32461533659998,438.1516553933784,4.7711472246620975e-201,358,0.4664804469273743,26.060360163540462,701.6623036649214,8.237751520458606e-244,1.3550058118040358e-198,2.339521431810244e-241
16,391,12679,111,9063,S-adenosyl-L-methionine-dependent methyltransferase superfamily,179,9821,3.7950247720935067e-122,1.077787035274556e-119,0.9982664555885546,0.0179,topq,179,0.8659217877094972,48.37551886645236,2636.3454861111113,2.115646200778582e-287,358,0.4888268156424581,27.308760650416655,2304.1666666666665,4.516695085295963e-268,6.008435210211173e-285,1.2827414042240533e-265
12,3536,11728,94,9063,S-adenosyl-L-methionine-dependent methyltransferase superfamily,179,9821,7.350522287377796e-121,2.087548329615294e-118,0.9929338511307715,0.0179,topq,179,0.6871508379888268,38.38831497144284,383.00223214285717,3.139506277062519e-193,358,0.46368715083798884,25.90431010268094,640.3902243589744,5.308426162223606e-241,8.916197826857554e-191,1.507593030071504e-238
12,899,9091,68,9063,S-adenosyl-L-methionine-dependent methyltransferase superfamily,179,9821,1.7045836997674188e-117,4.841017707339469e-115,0.989718190242207,0.0179,topq,179,0.5698324022346368,31.83421241534284,167.63164108618653,5.668956466856742e-143,358,0.44692737430167595,24.968009737523797,409.27166400850604,7.405020226687157e-225,1.6099836365873147e-140,2.1030257443791528e-222
12,798,8990,66,1206,AAA+ ATPase domain,175,9825,1.074286921310333e-115,3.050974856521346e-113,0.9888174482006543,0.0175,topq,175,0.7714285714285715,44.08163265306122,825.6093749999999,1.489891372447375e-230,350,0.4714285714285714,26.938775510204078,859.7837837837837,5.5273811127748746e-245,4.231291497750545e-228,1.5697762360280643e-242
20,1763,18147,208,1206,AAA+ ATPase domain,175,9825,1.0527567469255138e-114,2.989829161268459e-112,0.9942842602689931,0.0175,topq,175,0.76,43.42857142857142,737.6071428571428,8.702949248486799e-225,350,0.4685714285714286,26.77551020408163,772.6275659824047,4.297653820336017e-242,2.4716375865702508e-222,1.2205336849754286e-239
16,1236,13524,126,9063,S-adenosyl-L-methionine-dependent methyltransferase superfamily,179,9821,1.566409629367666e-114,4.448603347404171e-112,0.989474441667866,0.0179,topq,179,0.6927374301675978,38.700415093161894,400.32528925619835,8.129246514680256e-196,358,0.3994413407821229,22.315158702911894,177.47519379844962,6.511466018402824e-184,2.3087060101691925e-193,1.849256349226402e-181
16,3994,16282,172,1206,AAA+ ATPase domain,175,9825,3.3343715632709615e-114,9.46961523968953e-112,0.9913454016721193,0.0175,topq,175,0.7657142857142857,43.75510204081632,779.926234384295,1.170879159714405e-227,350,0.45714285714285713,26.122448979591834,540.9122807017543,6.253772688007568e-231,3.32529681358891e-225,1.7760714433941494e-228
24,950,21430,278,9063,S-adenosyl-L-methionine-dependent methyltransferase superfamily,179,9821,4.2747382796633965e-113,1.2140256714244046e-110,0.9846719974697931,0.0179,topq,179,0.553072625698324,30.897912050185703,150.68109375,2.2241744264318565e-136,358,0.4273743016759777,23.875659311507135,276.0315196998124,2.920636666213709e-207,6.316655371066472e-134,8.294608132046934e-205
24,3264,23744,336,1206,AAA+ ATPase domain,175,9825,2.333722629845295e-111,6.627772268760637e-109,0.9913826245001818,0.0175,topq,175,0.6685714285714286,38.20408163265306,339.6964922711058,8.113225187556103e-182,350,0.4657142857142857,26.61224489795918,700.0864527629234,3.027905633596783e-239,2.3041559532659333e-179,8.599251999414863e-237
