Case,Layer,Latent_ID,AUC,InterPro ID,InterPro Name,A_in,A_out,Delta_In_Out,L2FC,Bonferroni adj. p-value
2pkea,4,1509,0.9605929851531982,IPR008880,"Trigger factor, C-terminal",8.500542640686035,7.3494977951049805,1.1510448455810547,0.20990724861621857,0.001958525041118264
2pkea,4,1509,0.9605929851531982,IPR008881,"Trigger factor, ribosome-binding, bacterial",8.500542640686035,7.3494977951049805,1.1510448455810547,0.20990724861621857,0.001958525041118264
2pkea,4,1509,0.9605929851531982,IPR005215,Trigger factor,8.500542640686035,7.3494977951049805,1.1510448455810547,0.20990724861621857,0.001958525041118264
2pkea,4,1509,0.9605929851531982,IPR036611,Trigger factor ribosome-binding domain superfamily,8.500542640686035,7.3494977951049805,1.1510448455810547,0.20990724861621857,0.001958525041118264
2pkea,4,1509,0.9605929851531982,IPR037041,"Trigger factor, C-terminal domain superfamily",8.500542640686035,7.3494977951049805,1.1510448455810547,0.20990724861621857,0.001958525041118264
2pkea,4,2487,0.9681223034858704,IPR009081,Phosphopantetheine binding ACP domain,7.112132549285889,5.018738269805908,2.0933942794799805,0.5029546022415161,0.003456865670159459
2pkea,4,2487,0.9681223034858704,IPR003231,Acyl carrier protein,7.112132549285889,5.018738269805908,2.0933942794799805,0.5029546022415161,0.003456865670159459
2pkea,4,2487,0.9681223034858704,IPR036736,ACP-like superfamily,7.112132549285889,5.018738269805908,2.0933942794799805,0.5029546022415161,0.003456865670159459
2pkea,4,3501,0.9527429938316345,IPR024567,Ribonuclease HII/HIII domain,4.100878715515137,3.3028337955474854,0.7980449199676514,0.3122243285179138,0.00035376028972677886
2pkea,4,3501,0.9527429938316345,IPR001352,Ribonuclease HII/HIII,4.100878715515137,3.3028337955474854,0.7980449199676514,0.3122243285179138,0.00035376028972677886
2pkea,8,136,0.9699983596801758,IPR018370,"Chaperonin Cpn60, conserved site",9.608540534973145,7.846593379974365,1.7619471549987793,0.29224902391433716,0.04291097819805145
2pkea,8,136,0.9726089239120483,IPR013842,"GTP-binding protein LepA, C-terminal",9.69080924987793,7.846469879150391,1.844339370727539,0.30457162857055664,0.03421703726053238
2pkea,8,136,0.9726089239120483,IPR035654,"Elongation factor 4, domain IV",9.69080924987793,7.846469879150391,1.844339370727539,0.30457162857055664,0.03421703726053238
2pkea,8,136,0.9704495668411255,IPR001844,Chaperonin Cpn60/GroEL,9.612011909484863,7.846411228179932,1.7656006813049316,0.29280364513397217,0.010650118812918663
2pkea,8,136,0.9564699530601501,IPR002423,Chaperonin Cpn60/GroEL/TCP-1 family,9.51661205291748,7.846062183380127,1.6705498695373535,0.27847737073898315,0.000832748890388757
2pkea,8,136,0.9726089239120483,IPR006297,Elongation factor 4,9.69080924987793,7.846469879150391,1.844339370727539,0.30457162857055664,0.03421703726053238
2pkea,8,136,0.9564699530601501,IPR027409,GroEL-like apical domain superfamily,9.51661205291748,7.846062183380127,1.6705498695373535,0.27847737073898315,0.000832748890388757
2pkea,8,136,0.9564699530601501,IPR027410,TCP-1-like chaperonin intermediate domain superfamily,9.51661205291748,7.846062183380127,1.6705498695373535,0.27847737073898315,0.000832748890388757
2pkea,8,136,0.9564699530601501,IPR027413,GroEL-like equatorial domain superfamily,9.51661205291748,7.846062183380127,1.6705498695373535,0.27847737073898315,0.000832748890388757
2pkea,8,136,0.9726089239120483,IPR038363,"LepA, C-terminal domain superfamily",9.69080924987793,7.846469879150391,1.844339370727539,0.30457162857055664,0.03421703726053238
2pkea,12,264,0.9753080010414124,IPR016066,"Alpha-D-phosphohexomutase, conserved site",4.8780622482299805,1.2018342018127441,3.6762280464172363,2.0210583209991455,0.0012729386799037457
2pkea,12,264,0.9845045208930969,IPR018102,"Small ribosomal subunit protein uS11, conserved site",6.827947616577148,1.195692777633667,5.632254600524902,2.5135931968688965,3.657724505501392e-07
