Case,Layer,Latent_ID,AUC,InterPro ID,InterPro Name,A_in,A_out,Delta_In_Out,L2FC,Bonferroni adj. p-value
Top2,4,100,0.9568184018135071,IPR008930,Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid,5.15302038192749,3.6907081604003906,1.4623122215270996,0.4815167486667633,0.036785732954740524
MetX,4,798,0.9517802596092224,IPR018102,"Small ribosomal subunit protein uS11, conserved site",8.440607070922852,2.3497531414031982,6.090853691101074,1.8448313474655151,3.252628448535688e-05
MetX,4,798,0.9559192061424255,IPR001971,Small ribosomal subunit protein uS11,8.667236328125,2.3479866981506348,6.319249629974365,1.8841416835784912,1.5729148117316072e-06
MetX,4,798,0.9786472916603088,IPR019981,"Small ribosomal subunit protein uS11, bacterial-type",9.537890434265137,2.3487746715545654,7.189115524291992,2.0217556953430176,1.8491733499104157e-05
MetX,4,798,0.9559192061424255,IPR036967,Small ribosomal subunit protein uS11 superfamily,8.667236328125,2.3479866981506348,6.319249629974365,1.8841416835784912,1.5729148117316072e-06
MetX,4,963,0.9680233001708984,IPR000432,"DNA mismatch repair protein MutS, C-terminal",5.804487705230713,3.5427112579345703,2.2617764472961426,0.712310791015625,1.6769223293522373e-05
MetX,4,963,0.9844433069229126,IPR007695,"DNA mismatch repair protein MutS-like, N-terminal",5.843801021575928,3.544011354446411,2.2997896671295166,0.7215197682380676,0.012078043073415756
MetX,4,963,0.9680233001708984,IPR007696,"DNA mismatch repair protein MutS, core",5.804487705230713,3.5427112579345703,2.2617764472961426,0.712310791015625,1.6769223293522373e-05
MetX,4,963,0.9854454398155212,IPR007860,"DNA mismatch repair protein MutS, connector domain",5.908359050750732,3.54367733001709,2.3646817207336426,0.7375061511993408,0.0026163021102547646
MetX,4,963,0.9854454398155212,IPR007861,"DNA mismatch repair protein MutS, clamp",5.908359050750732,3.54367733001709,2.3646817207336426,0.7375061511993408,0.0026163021102547646
MetX,4,963,0.9844433069229126,IPR005748,DNA mismatch repair protein MutS,5.843801021575928,3.544011354446411,2.2997896671295166,0.7215197682380676,0.012078043073415756
MetX,4,963,0.9852263331413269,IPR017261,DNA mismatch repair protein MutS/MSH,5.874040603637695,3.5437324047088623,2.330308198928833,0.7290794253349304,0.002671332098543644
MetX,4,963,0.9680233001708984,IPR045076,DNA mismatch repair MutS,5.804487705230713,3.5427112579345703,2.2617764472961426,0.712310791015625,1.6769223293522373e-05
MetX,4,963,0.9844433069229126,IPR016151,"DNA mismatch repair protein MutS, N-terminal",5.843801021575928,3.544011354446411,2.2997896671295166,0.7215197682380676,0.012078043073415756
MetX,4,963,0.9680233001708984,IPR036187,"DNA mismatch repair protein MutS, core domain superfamily",5.804487705230713,3.5427112579345703,2.2617764472961426,0.712310791015625,1.6769223293522373e-05
MetX,4,963,0.9862884283065796,IPR036678,"MutS, connector domain superfamily",5.9539899826049805,3.543362855911255,2.4106271266937256,0.7487334609031677,0.0005703333881683648
MetX,4,1096,0.9988952279090881,IPR001980,Phosphopantetheine adenylyltransferase,6.386501789093018,4.104095935821533,2.2824058532714844,0.6379578709602356,3.4518991014920175e-05
Top2,4,1297,0.9712011814117432,IPR005996,"Large ribosomal subunit protein uL30, bacterial-type",1.4760253429412842,0.18858428299427032,1.2874410152435303,2.9683597087860107,0.0001345715718343854
Top2,4,1509,0.9605929851531982,IPR008880,"Trigger factor, C-terminal",8.500542640686035,7.3494977951049805,1.1510448455810547,0.20990724861621857,0.001958525041118264
Top2,4,1509,0.9605929851531982,IPR008881,"Trigger factor, ribosome-binding, bacterial",8.500542640686035,7.3494977951049805,1.1510448455810547,0.20990724861621857,0.001958525041118264
Top2,4,1509,0.9605929851531982,IPR005215,Trigger factor,8.500542640686035,7.3494977951049805,1.1510448455810547,0.20990724861621857,0.001958525041118264
Top2,4,1509,0.9605929851531982,IPR036611,Trigger factor ribosome-binding domain superfamily,8.500542640686035,7.3494977951049805,1.1510448455810547,0.20990724861621857,0.001958525041118264
Top2,4,1509,0.9605929851531982,IPR037041,"Trigger factor, C-terminal domain superfamily",8.500542640686035,7.3494977951049805,1.1510448455810547,0.20990724861621857,0.001958525041118264
MetX,4,1682,0.9920814633369446,IPR001059,"Translation elongation factor P/YeiP, central",5.870051860809326,4.157438278198242,1.712613582611084,0.49767500162124634,0.006087282672524452
MetX,4,1682,0.9920814633369446,IPR013185,"Translation elongation factor, KOW-like",5.870051860809326,4.157438278198242,1.712613582611084,0.49767500162124634,0.006087282672524452
MetX,4,1682,0.9920814633369446,IPR015365,"Elongation factor P, C-terminal",5.870051860809326,4.157438278198242,1.712613582611084,0.49767500162124634,0.006087282672524452
MetX,4,1682,0.9541537165641785,IPR005732,"Small ribosomal subunit protein uS19, bacterial-type",5.3253350257873535,4.157554626464844,1.1677803993225098,0.35713356733322144,8.61966545926407e-05
MetX,4,1682,0.9916812181472778,IPR011768,Translation elongation factor P,5.8683037757873535,4.157612323760986,1.7106914520263672,0.4971848726272583,0.027701525017619133
